# SpO2 Calibration — 2026-03-23 00:16:00
# Model,UpnMed U401-D(01AS-F)
# LOT,202308030190063
# PartNo,(01)06970404880031(10)UBCH0301(11)230803(17)250802(21)202308030190063
# SimDevice,MS100
# SimSetting,R-Curve Nellcor, 100 bpm
# SpO2LocalCalc: DC_IIR_TAU_S=1.6, AC_EMA_TAU_S=1.0
# Firmware defaults: a=104.0, b=17.0
#
index,spo2_ref,R_fw_mean,R_local_mean
1,100.0,0.478884,0.465378
2,100.0,0.464480,0.479028
3,100.0,0.465857,0.487639
4,98.0,0.566972,0.575768
5,98.0,0.570000,0.568009
6,98.0,0.570000,0.585792
7,96.0,0.629283,0.638620
8,96.0,0.629721,0.639814
9,96.0,0.630000,0.604622
10,96.0,0.628640,0.658559
11,94.0,0.678845,0.700478
12,94.0,0.692191,0.686371
13,94.0,0.690956,0.705076
14,94.0,0.684720,0.694700
15,92.0,0.753920,0.749179
16,92.0,0.752510,0.788094
17,92.0,0.749721,0.750299
18,90.0,0.802869,0.794705
19,90.0,0.800159,0.822701
20,90.0,0.799721,0.804466
# Regression: a  =  114.9208, b  =  30.5547, R²  =  0.9864
